年级,单词,释义,英文句子,中文翻译
6,academy,学会,She dreams of studying at the academy next year.,她梦想着明年去学院学习。
6,accelerate,加速,We need to accelerate our project to meet the deadline.,我们需要加快项目进度以赶上截止日期。
6,accent,口音,She has a pleasant accent when speaking English.,她说英语时口音很悦耳。
4,accept,接受,I accept your kind invitation.,我接受你盛情的邀请。
6,acceptance,接受,Her acceptance of the gift made everyone happy.,她接受了礼物，这让所有人都很高兴。
5,access,访问,I can access the internet with my phone.,我可以用手机上网。
6,accessory,附件,She bought a new accessory for her handbag.,她给她的手提包买了一个新配件。
5,accident,事故,She had a small accident while riding her bike.,她骑自行车时出了点小意外。
6,acclaim,称赞,The movie received wide acclaim from critics and audiences alike.,这部电影受到了评论家和观众的广泛好评。
6,accommodate,容纳,The hotel can accommodate up to 200 guests.,这家酒店最多可容纳200位客人。
6,accommodation,住宿,We need to find suitable accommodation for our trip next month.,我们需要为下个月的旅行找到合适的住宿。
5,accompany,陪伴,I will accompany you to the park tomorrow.,明天我将陪你去公园。
6,accomplish,完成,I can accomplish my homework on time.,我能按时完成作业。
6,accomplishment,成就,Finishing the project on time was a great accomplishment.,按时完成这个项目是一项伟大的成就。
5,accord,协议,We must act according to the rules.,我们必须按规则行事。
6,accordance,依据,We must act in accordance with the rules.,我们必须按照规则行事。
6,account,账户,I need to check my account balance today.,我今天需要查询我的账户余额。
6,accumulate,积累,We need to accumulate knowledge through continuous learning.,我们需要通过持续学习来积累知识。
6,accuse,指控,She will accuse him of stealing her book.,她会指控他偷了她的书。
5,ache,疼痛,My head begins to ache after studying for hours.,学习数小时后，我的头开始疼了。
5,achieve,实现,We can achieve our goals through hard work.,我们可以通过努力工作实现目标。
6,achievement,成就,Her greatest achievement is winning the competition.,她最大的成就就是赢得了比赛。
6,acknowledge,承认,I acknowledge your help with gratitude.,我怀着感激之情感谢你的帮助。
6,acknowledgment,承认,She offered a warm acknowledgment of his help.,她热情地感谢了他的帮助。
6,acquaintance,熟人,I met an acquaintance at the park yesterday.,我昨天在公园遇到了一个熟人。
6,acquire,获得,She wants to acquire new skills this year.,她今年想学习新技能。
6,acquisition,收购,The company announced the acquisition of a smaller tech firm yesterday.,这家公司昨天宣布收购了一家规模较小的科技公司。
6,acre,英亩,The farmer owns an acre of land.,这位农民拥有一英亩土地。
4,across,穿过,I walked across the street to buy some milk.,我穿过街道去买些牛奶。
5,act,行动,Please act quickly to help me.,请迅速采取行动帮助我。
3,action,行动,She plans to take action immediately.,她计划立即采取行动。
4,activity,活动,We often do this activity together.,我们经常一起做这个活动。
5,actor,演员,The actor performs on stage every night.,这位演员每晚都在舞台上表演。
5,ad,广告,I saw an ad on the wall.,我看到墙上有一则广告。
5,adapt,适应,We need to adapt to new changes quickly.,我们需要快速适应新变化。
3,addition,加法,The addition of milk makes the coffee taste better.,加牛奶使咖啡味道更好。
5,address,地址,Please write down your address here.,请在这里写下你的地址
5,adjust,调整,I need to adjust the volume on the radio.,我需要调节收音机的音量。
6,adjustment,调整,We need to make an adjustment to the schedule.,我们需要对日程安排进行调整。
6,administer,管理,The nurse will administer the medicine to the patient.,护士将给病人用药。
6,administration,管理,The administration is working on new policies.,政府正在制定新政策。
6,admire,钦佩,I admire her courage and kindness.,我钦佩她的勇气和善良。
5,admit,承认,She admitted her mistake to the teacher.,她向老师承认了自己的错误。
5,adopt,采用,They decide to adopt a cat from the shelter.,他们决定从收容所收养一只猫。
5,adore,喜爱,I adore reading books in my free time.,我喜欢在空闲时间读书。
5,adult,成人,An adult should take responsibility for their actions.,成年人应该为自己的行为负责。
5,advance,前进,I need to advance my study plan to finish on time.,我需要提前我的学习计划以按时完成。
5,advantage,优势,Studying hard gives you an advantage in exams.,努力学习能让你在考试中占据优势。
5,adventure,冒险,We went on an adventure to the mountains.,我们去山里进行了一次探险。
5,adverb,副词,"She speaks English fluently, and ""fluently"" is an adverb here.",她英语说得很流利，这里的“流利地”是一个副词。
6,advertisement,广告,I saw a funny advertisement on TV yesterday.,我昨天在电视上看到了一则有趣的广告。
5,advice,建议,Can you give me some advice on studying English?,你能给我一些学习英语的建议吗
5,advise,建议,I advise you to study hard.,我建议你努力学习。
4,aeroplane,飞机,I see an aeroplane flying in the sky.,我看见一架飞机在天空中飞行。
6,affair,事务,She decided not to get involved in the affair.,她决定不介入这件事。
6,affect,影响,Weather can affect our daily activities.,天气会影响我们的日常活动。
5,affection,喜爱,She shows great affection for her little sister.,她对她的小妹妹表现出极大的喜爱。
3,afraid,害怕,She is afraid of the dark.,她怕黑。
5,Africa,非洲,Africa is a continent with diverse cultures and landscapes.,非洲是一个拥有多元文化和多样地貌的大陆。
3,afternoon,下午,I often take a walk in the afternoon.,我经常在下午散步。
5,afterward,之后,I will call you afterward.,之后我会给你打电话。
5,afterwards,之后,She felt much better afterwards.,她之后感觉好多了。
5,against,反对,She stood against the wall.,她靠墙站着。
6,agency,机构,The travel agency helped us plan our vacation.,旅行社帮我们规划了假期。
5,agenda,议程,We need to prepare the agenda for tomorrow's meeting.,我们需要为明天的会议准备议程。
6,aggression,侵略,Children should learn to resolve conflicts without aggression.,孩子们应该学会不用攻击性手段解决冲突。
5,ago,以前,He left five minutes ago.,他五分钟前离开了。
3,agree,同意,I agree with your idea.,我同意你的想法。
5,agreement,协议,We reached an agreement after long talks.,经过长时间的谈判，我们达成了协议。
6,agriculture,农业,Agriculture plays a key role in providing food for people.,农业在为人们提供食物方面发挥着关键作用。
5,aid,援助,I will aid you in finishing the project on time.,我会帮助你按时完成这个项目。
5,aim,目标,My aim is to finish homework today.,我的目标是今天完成作业。
3,air,空气,We need fresh air to breathe.,我们需要新鲜空气来呼吸。
6,aircraft,飞机,The aircraft flew high in the sky.,飞机在高空飞行。
3,airplane,飞机,The airplane flies high in the sky.,飞机在高空飞行。
5,airport,机场,I will meet you at the airport tomorrow.,我明天将在机场接你。
6,airspace,领空,Planes must follow rules when entering controlled airspace.,飞机进入管制空域时必须遵守规定。
5,alarm,警报,I set the alarm for 7 o'clock.,我把闹钟定在了7点。
6,album,专辑,I love listening to this album every day.,我喜欢每天听这张专辑。
6,alcohol,酒精,Alcohol can affect your health if consumed excessively.,如果过量饮酒，会影响你的健康。
5,alert,警报,Please alert me when the meeting starts.,会议开始时请提醒我。
6,algebra,代数,I am learning algebra at school.,我正在学校学习代数。
3,all,所有,We all need to work together to solve the problem.,我们都需要共同努力来解决这个问题。
6,allege,声称,They allege that he stole the money.,他们声称他偷了钱。
6,alley,小巷,We walked through the quiet alley.,我们走过那条安静的小巷。
6,allocate,分配,We need to allocate enough time for the project.,我们需要为这个项目分配足够的时间。
5,allow,允许,My parents allow me to watch TV after finishing homework.,我的父母允许我做完作业后看电视。
5,allowance,津贴,My parents give me a weekly allowance.,我的父母每周给我零花钱。
6,alloy,合金,This alloy is strong and durable.,这种合金坚固耐用。
5,ally,盟友,She is a loyal ally who always supports me.,她是一位总是支持我的忠实盟友。
4,almost,几乎,I almost missed the bus this morning.,今天早上我差点错过了公交车。
3,alone,独自,She likes to read alone in the afternoon.,她喜欢在下午独自阅读。
3,along,沿着,We walked along the river.,我们沿着河边散步。
3,already,已经,I have already finished my homework.,我已经完成了我的家庭作业。
6,alter,改变,We can alter the plan if needed.,如果需要，我们可以修改计划。
